Date,Brazil_M0_Growth_YoY_%,Brazil_Monetary_Base_XDC,Chile_M0_Growth_YoY_%,Chile_Monetary_Base_XDC,Colombia_M0_Growth_YoY_%,Colombia_Monetary_Base_XDC,Czech Republic_M0_Growth_YoY_%,Czech Republic_Monetary_Base_XDC,Hungary_M0_Growth_YoY_%,Hungary_Monetary_Base_XDC,India_M0_Growth_YoY_%,India_Monetary_Base_XDC,Indonesia_M0_Growth_YoY_%,Indonesia_Monetary_Base_XDC,Kuwait_M0_Growth_YoY_%,Kuwait_Monetary_Base_XDC,Malaysia_M0_Growth_YoY_%,Malaysia_Monetary_Base_XDC,Mexico_M0_Growth_YoY_%,Mexico_Monetary_Base_XDC,Peru_M0_Growth_YoY_%,Peru_Monetary_Base_XDC,Philippines_M0_Growth_YoY_%,Philippines_Monetary_Base_XDC,Poland_M0_Growth_YoY_%,Poland_Monetary_Base_XDC,Qatar_M0_Growth_YoY_%,Qatar_Monetary_Base_XDC,South Korea_M0_Growth_YoY_%,South Korea_Monetary_Base_XDC,Thailand_M0_Growth_YoY_%,Thailand_Monetary_Base_XDC,Turkey_M0_Growth_YoY_%,Turkey_Monetary_Base_XDC,UAE_M0_Growth_YoY_%,UAE_Monetary_Base_XDC,United States_M0_Growth_YoY_%,United States_Monetary_Base_XDC
2001-01-01,,,,2.52712481231072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-02-01,,,,8.960792596439283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-03-01,,,,15.76929310135924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-04-01,,,,5.811809571836046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-05-01,,,,5.182931114453174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-01,,,,10.41934922398624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-07-01,,,,16.10018596319966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-01,,,,19.46033462464622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-01,,,,23.97783163282345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-01,,,,5.14988568118216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-11-01,,,,17.90743762998438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-01,,,,185.0672095570257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-01,,,8101.7287397961045,207.2679220218067,,,,9.75133045320176,,11.9338765989629,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-01,,,2106.3090057384343,197.7027740407828,,,,9.86568649019077,,19.8799810121457,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-01,,,1147.5298691632415,196.726641595355,,,,11.6802611394248,,9.25026071063682,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-01,,,3619.5821378024184,216.1750307171048,,,,15.9906384195859,,16.9613025753316,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-01,,,3779.5883323726075,201.0763907912349,,,,18.3424811879565,,1.92264096179766,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-06-01,,,1946.276387752937,213.2086829279493,,,,37.0188301949675,,11.3444901586643,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-07-01,,,1269.0108641570223,220.4132949856873,,,,40.0013252430401,,25.8909659912577,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-08-01,,,925.7485411902952,199.6140985230585,,,,41.4958535766944,,17.1870952257438,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-09-01,,,750.6531756999044,203.9681862485889,,,,43.4695019162881,,10.7943300453278,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-10-01,,,3782.723736398302,199.9558337406371,,,,39.2585354026109,,9.6636845952513,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-11-01,,,1073.7522027873981,210.1889436447211,,,,39.4858935776993,,12.435756800411,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-12-01,,-1.175596892018874,-92.50224671798625,13.87588277849315,,21.09533931563865,,38.6363680377093,,5.50572036527037,,,,-0.8880858901427388,,-7.109581690363832,,6.39508640507404,,16.92585790036672,,,,14.3166478087609,,-2.57257493223544,,16.95892736906818,,15.72055937572245,,13.63585111014767,,175.2177130849465,,-1.914710709354729,,7.418399980954044
2003-01-01,,-7.035409534515354,-94.75940691766604,10.86206838337214,,22.02939321867132,260.2924440655285,35.1333068187468,805.9379004212805,108.113511099511,,,,12.6824712465101,,-21.23925985225724,,12.16443856626382,,18.82500333498093,,,,13.27777656516725,,14.7728968065693,,18.06196050608963,,19.66219515992173,,16.38022211454656,,190.4655622907398,,4.345520587533473,,5.935917218261846
2003-02-01,,-1.285885973279872,-94.32560060744886,11.21844500922692,,23.63401832972974,256.2622489062163,35.1477165599904,194.60747589293806,58.5679102678778,,,,11.34498205903192,,-28.04608792153618,,4.306350671634545,,19.5033105284796,,,,14.5331481683001,,-4.24324715160543,,19.36481503508981,,7.544991409938423,,6.413768170803559,,158.1781646564445,,2.688483190403536,,7.335887644317508
2003-03-01,,-4.012216135018114,-93.08587982579398,13.60191641458241,,14.93676893383127,200.01807118867893,35.0428941803031,475.59235664655455,53.2437936203048,,,,0.7397205057315601,,-38.12932930135285,,5.377504920757707,,9.958447927759085,,,,5.832987431438093,,3.41680702018969,,22.42511707360174,,12.78373602300619,,13.60056769620242,,182.7641504498504,,7.595040419488748,,6.73287525006128
2003-04-01,,-3.571865372183363,-97.3130501838827,5.808514590344773,,10.24394840831567,75.73805551200019,28.1016370225351,244.38445167327671,58.4120888707011,,,,4.417086102145128,,-38.31337714991214,,4.834466517735457,,20.87183215933326,,,,7.409280420659406,,13.1411887905933,,22.42717879866908,,7.241654554498847,,7.641340094144166,,154.9609817482707,,3.21826681049982,,7.237727924461773
2003-05-01,,-9.514612596284548,-97.89482495400243,4.233010002329615,,18.65270053316217,30.58179653156259,23.9519414636975,2104.1750374848366,42.3783721404024,,,,8.374031439789063,,-41.65553590780382,,4.800051243423004,,17.62680507497607,,,,8.658097316330261,,22.3344686236011,,27.99267502465136,,5.638551931728897,,10.64702417922717,,134.9850931063634,,6.0686506145637,,7.768238666989556
2003-06-01,,-15.6347011037094,-99.60769600982617,0.836426170523413,,14.74160695622279,-83.51532157511986,6.10243511429282,234.89578200665218,37.9922190315265,,,,10.74021957860493,,-36.57916421820809,,4.362968581776391,,13.17825338606612,,,,11.89065922926913,,2.64853363083822,,23.78931413414172,,12.56047811182645,,12.16276678089808,,147.4216233962405,,-0.1792516244678467,,6.554325039442038
2003-07-01,,-11.31902444513207,-101.8559969186001,-4.090863963119317,,13.28110273691931,-90.81429335727277,3.67440439002886,4.086860208514764,26.9490935779545,,,,2.824994219519622,,-34.70263031965049,,7.886341739489286,,15.49678739768531,,,,3.722833588546175,,19.7322106259146,,16.74668765577856,,6.346197312884949,,6.602207429265095,,146.2487158002489,,3.778963334902453,,6.007837786527589
2003-08-01,,-9.332979530882634,-102.4412889713985,-4.873156972599959,,12.39427995013871,-92.76116444014312,3.0038166045759,5.303357421797572,18.0985883159897,,,,5.610480061556317,,-42.29516082865877,,10.23647008697751,,15.161388543421,,,,5.434124830745897,,8.40047367832519,,-5.802818240144476,,11.57720661656872,,11.54822251975066,,143.2051951490076,,3.376650763107257,,5.469163406569542
2003-09-01,,-25.62088728507748,-101.79765300281687,-3.666640224888854,,9.58457306574749,-98.36639174886966,0.710121370029743,203.0317851416647,32.7102510304399,,,,9.635412432930279,,-44.96970912775912,,11.15441045366043,,12.9409858392249,,,,4.737354716678018,,15.8150888963902,,-0.4131311382133934,,7.264903972608321,,8.234893231264559,,123.0726126529561,,3.430320791250196,,5.838620630294982
2003-10-01,,-27.61050159486838,-99.14124769480239,1.717125331624813,,18.72451421858746,-96.84242098173122,1.23961927675246,180.15006184301154,27.0728183699101,,,,10.07832471756354,,-46.07780618073363,,7.870272195765863,,15.88479198337282,,,,10.87239654887447,,13.9051354098197,,18.45661817806665,,13.76189333220573,,10.19953243146234,,148.856599044636,,9.57123024348569,,6.850160226896018
2003-11-01,,-21.32612631523707,-103.11942239414861,-6.556680978077828,,14.92510126422072,-97.77052140388956,0.880329545797753,194.20542940012075,36.5866716938039,,,,18.66099091320555,,-40.01695033414016,,9.284807113179543,,14.22142958661766,,,,9.042307750975954,,8.36707691779816,,20.55000258946605,,6.567213839397548,,11.72042303467985,,127.1578325627871,,10.97672954324842,,6.398326589190597
2003-12-01,1415.1911389927204,-17.8125399381438,-158.40702688005206,-8.10449058427901,-15.660540866986972,17.79169508108349,-98.84558062230165,0.446025719466166,519.2886385975639,34.0963006950717,,,-1538.002630702114,12.77069846314687,487.13086951881576,-41.74254879778369,8.43169526366323,6.934300602597839,-11.184220258818334,15.0328326720951,,,-62.252543476507746,5.404170407233527,-367.5388945579077,6.88263853537654,-12.315536886971046,14.87034441329596,-53.75614209622525,7.269793139387629,-12.998529110915714,11.863391034074,-89.61585197983723,18.19486668428497,-744.8642924714774,12.34728566875598,-26.829453113167425,5.428083836316758
2004-01-01,94.60489815700053,-13.69125155957151,-156.95726089250525,-6.186736627439598,-25.589906557032883,16.39209207893199,-99.16453196876863,0.293527546785059,-124.61601491654494,-26.6132380190561,,,92.05655141095824,24.35751690973367,76.58892099235021,-37.5061797998625,-69.79564757878062,3.674189894617051,-30.343112958810725,13.11291130854778,,,-19.35938821569476,10.70728025350398,-95.11145716577812,0.722179388244537,-15.298713005158016,15.29871300515799,-54.54767210882513,8.93692541469034,-59.25425948810299,6.67424279806551,-86.45578473991532,25.7970657529885,398.8238135506982,21.67649151336518,4.031034030939296,6.175196061378366
2004-02-01,1030.6749831321854,-14.53919101148133,-135.43433385910717,-3.975181258369812,-26.64083559254792,17.3377183625938,-99.75602608242754,0.0857512610286742,-119.74676054154094,-11.5652649947824,,,-4.923118019987949,10.78645520291932,2.839554046658921,-28.84247174604168,93.36983741138378,8.327183292103754,-32.46362041274454,13.17182983059514,,,-9.36502382528792,13.1721153797744,-308.3374827530418,8.8402743026449,-28.99814867864198,13.74937717987045,-43.96222792170684,4.228045089628091,86.9097916838382,11.98796072713325,-87.21205724491094,20.22773314731664,849.1400631942133,25.51747105236192,-45.689226428511574,3.984177327964078
2004-03-01,276.95494212317226,-15.12424700961411,-161.30628512115,-8.338829659064396,18.80468624457452,17.74558146691532,-102.15616695407546,-0.755583304067325,-110.94097351761856,-5.82538935977303,,,2433.799672052932,18.74303574833456,-38.2008653875282,-23.5635955417757,67.51378168469174,9.00806185304162,24.862132081873156,12.43433040486311,,,56.78251945066195,9.145104654249096,52.74219118223784,5.21890591110626,-55.31810277733589,10.01996776288883,-86.3392231301217,1.74635765373713,-33.532475467848776,9.039960669985177,-94.00175305856745,10.96264506439335,191.12182950499462,22.11082062085946,-29.931923816620586,4.717596159544835
2004-04-01,186.8816251338175,-10.24702542731171,-94.17084212954136,0.3385874853998208,81.97700856692329,18.64163087259181,-101.85184379503762,-0.520398421505813,-105.39575596911723,-3.15177377192692,,,251.33539923970181,15.51878709173297,-10.632101616267164,-34.2398599587098,129.43600820127295,11.09200699611932,-42.2853833482724,12.04609791895119,,,134.03263101183538,17.34013390751399,-73.74888453033051,3.44970864350591,-56.01290427371569,9.865064606875507,-23.437127891803875,5.544418715078312,40.89061520759678,10.76593106874447,-82.47227603470604,27.16113313474644,494.3595534451856,19.12807624356135,-33.08016455834666,4.843475616764411
2004-05-01,-37.69341385148318,-5.928230294001665,-9.771765977361435,3.819370171103663,-7.731176160318098,17.21062739628681,-101.8682334201686,-0.447478175204017,-85.31674874545487,6.22252285896144,,,195.0998408767378,24.71175345378552,-36.6381501484038,-26.39371811678039,70.14944305336878,8.167260456960545,-30.232863150875545,12.29771721878697,,,55.67001382466907,13.47806128928462,-68.7352982301196,6.9828050070564,-79.61839885234465,5.705355374083775,-55.01436153626751,2.536538586597366,19.542522396352634,12.72772126399772,-74.01057466498332,35.08184998628106,267.9998342404672,22.33262420222751,-42.49529970482957,4.467102363665886
2004-06-01,-86.74336006081951,-2.072636030885834,693.9631154324687,6.640915281780183,33.56209750995749,19.68919945740496,-112.97742427129147,-0.79193889566205,-87.32887789104808,4.81404046538519,,,52.706588498474275,16.4010229157328,-11.802162804715454,-32.26203170457095,99.9533693662924,8.723902683654636,22.761230831813005,16.17778605886984,,,-71.1634771779317,3.428852662342563,-113.41740591023999,-0.355364507918781,-113.8197381181066,-3.287620913432105,7.172716034686544,13.46140553938672,-7.386863180022507,11.26431983988791,-76.04648852477146,35.31265547718667,-10122.13150018706,17.96483352038908,-16.45600765707296,5.475744809082006
