Date,Brazil_Broad_Money_M2,Brazil_M2_Growth_YoY_%,Chile_Broad_Money_M2,Chile_M2_Growth_YoY_%,Colombia_Broad_Money_M2,Colombia_M2_Growth_YoY_%,Czech Republic_Broad_Money_M2,Czech Republic_M2_Growth_YoY_%,Hungary_Broad_Money_M2,Hungary_M2_Growth_YoY_%,India_Broad_Money_M2,India_M2_Growth_YoY_%,Indonesia_Broad_Money_M2,Indonesia_M2_Growth_YoY_%,Kuwait_Broad_Money_M2,Kuwait_M2_Growth_YoY_%,Malaysia_Broad_Money_M2,Malaysia_M2_Growth_YoY_%,Mexico_Broad_Money_M2,Mexico_M2_Growth_YoY_%,Peru_Broad_Money_M2,Peru_M2_Growth_YoY_%,Philippines_Broad_Money_M2,Philippines_M2_Growth_YoY_%,Poland_Broad_Money_M2,Poland_M2_Growth_YoY_%,Qatar_Broad_Money_M2,Qatar_M2_Growth_YoY_%,South Africa_Broad_Money_M2,South Africa_M2_Growth_YoY_%,South Korea_Broad_Money_M2,South Korea_M2_Growth_YoY_%,Thailand_Broad_Money_M2,Thailand_M2_Growth_YoY_%,Turkey_Broad_Money_M2,Turkey_M2_Growth_YoY_%,UAE_Broad_Money_M2,UAE_M2_Growth_YoY_%,United States_Broad_Money_M2,United States_M2_Growth_YoY_%
1997-12-01,,,30230100434549.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-01-01,,,29680495141294.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-02-01,,,30034322191815.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-03-01,,,30235951536703.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-04-01,,,30469787265110.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-05-01,,,30739460104304.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-06-01,,,30296364057940.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-07-01,,,30761218695469.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-08-01,,,30743145475150.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-09-01,,,30787687352000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-10-01,,,31100744470000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-11-01,,,31181757088000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-01,,,31805253296000.0,5.210544585722587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-01,,,31868219064000.0,7.370914508976778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-02-01,,,31784301328000.0,5.8265977337803365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-03-01,,,31931027866000.0,5.606161682189903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-04-01,,,32781767609000.0,7.587779736608313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-05-01,,,33834886853000.0,10.069880011529309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-06-01,,,34186405300000.0,12.839960711524355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-07-01,,,34254579297000.0,11.356379069742628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-08-01,,,34348426928000.0,11.727106635083784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-09-01,,,34894376792000.0,13.338739584586644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-10-01,,,35400997481000.0,13.826849113364649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-11-01,,,35405108512000.0,13.54430224082952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-01,,,35741580996000.0,12.376344446516496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-01,,,35707818449000.0,12.048365104083935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-01,,,35423694016000.0,11.450283743672918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-01,,,35870352376000.0,12.336979963600147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-04-01,,,36142799927000.0,10.252748900206509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-01,,,36636256983000.0,8.279531544381724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-06-01,,,36746447927000.0,7.4884814724875515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-07-01,,,37175424367000.0,8.526874741841617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-01,,,36882612875000.0,7.377880659024272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-01,,,37670298204000.0,7.955211318278699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-10-01,,,37878355978000.0,6.997990659245179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-01,,,38484488298000.0,8.697557825465484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-01,,,39321425748000.0,10.0159104668611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-01,,,38914098508000.0,8.979210151354945,,,1444561941748.25,,5811352420367.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-02-01,,,38824123044000.0,9.59930668570057,,,1470581151489.67,,5930667898752.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-03-01,,,39125109739000.0,9.073669890061309,,,1494761312582.44,,6026662871052.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-04-01,,,39710360851000.0,9.870737549956399,,,1487250003803.71,,6082905927781.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-05-01,,,39961597879000.0,9.076639290806998,,,1528276892725.97,,6138628099226.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-01,,,40378776728000.0,9.884843313878754,,,1540785233374.72,,6166318489173.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-07-01,,,40537441651000.0,9.043655428946252,,,1541356395523.03,,6224941005565.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-01,,,40479482629000.0,9.752209709735759,,,1535571766321.4,,6328619857921.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-01,,,40680320044000.0,7.990438046705939,,,1535780379834.65,,6448971126616.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-01,,,40781246393000.0,7.663718078699144,,,1533154453195.34,,6516175368858.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-11-01,,,41233421790000.0,7.142964902414617,,,1563481355645.84,,6562528668106.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-01,629292665921.7574,,40038629792361.75,1.8239522873817249,63296032221851.28,,1595874168720.0,,6685580931792.7,,,,823374125887162.2,,9421541974.061117,,490934271387.5033,,1744257903036.948,,,,2219476784453.11,,346662105151.086,,39632817308.08518,,602833970430.5396,,764423999699629.4,,5969598417875.611,,106726343464.0515,,154785673601.0938,,7540431058406.822,
2002-01-01,631922343903.9354,,40263517040707.24,3.467685451918734,60946720116286.25,,1350226915599.91,-6.530355218563566,6762152294315.99,16.3610775112617,,,831894590688099.6,,9469537064.955366,,490149552781.8183,,1744149626594.302,,,,2215749461478.96,,342636421701.028,,41847937647.34743,,628586917073.5288,,773581209863933.2,,5961638491090.634,,101079588521.5495,,155963619814.6026,,,
2002-02-01,634472546712.0042,,40975904772406.87,5.54238334235706,61239844706817.69,,1356315679080.66,-7.7700895522332285,6839787646744.76,15.329129256825457,,,838832388428892.8,,9494245732.882195,,497756985059.2915,,1781639744311.743,,,,2228591743026.313,,343651593013.021,,41910826179.05127,,636583943895.6204,,782889593911748.8,,5975893106296.112,,112894917324.5251,,156292988331.0142,,,
