Date,Brazil_Portfolio_Debt_Share_%,Brazil_Total_IIP_Liabilities,Brazil_Total_Liabilities_Growth_YoY_%,Chile_Portfolio_Debt_Share_%,Chile_Total_IIP_Liabilities,Chile_Total_Liabilities_Growth_YoY_%,China_Portfolio_Debt_Share_%,China_Total_IIP_Liabilities,China_Total_Liabilities_Growth_YoY_%,Colombia_Portfolio_Debt_Share_%,Colombia_Total_IIP_Liabilities,Colombia_Total_Liabilities_Growth_YoY_%,Czech Republic_Portfolio_Debt_Share_%,Czech Republic_Total_IIP_Liabilities,Czech Republic_Total_Liabilities_Growth_YoY_%,Greece_Portfolio_Debt_Share_%,Greece_Total_IIP_Liabilities,Greece_Total_Liabilities_Growth_YoY_%,Hungary_Portfolio_Debt_Share_%,Hungary_Total_IIP_Liabilities,Hungary_Total_Liabilities_Growth_YoY_%,India_Portfolio_Debt_Share_%,India_Total_IIP_Liabilities,India_Total_Liabilities_Growth_YoY_%,Indonesia_Portfolio_Debt_Share_%,Indonesia_Total_IIP_Liabilities,Indonesia_Total_Liabilities_Growth_YoY_%,Kuwait_Portfolio_Debt_Share_%,Kuwait_Total_IIP_Liabilities,Kuwait_Total_Liabilities_Growth_YoY_%,Malaysia_Portfolio_Debt_Share_%,Malaysia_Total_IIP_Liabilities,Malaysia_Total_Liabilities_Growth_YoY_%,Mexico_Portfolio_Debt_Share_%,Mexico_Total_IIP_Liabilities,Mexico_Total_Liabilities_Growth_YoY_%,Peru_Portfolio_Debt_Share_%,Peru_Total_IIP_Liabilities,Peru_Total_Liabilities_Growth_YoY_%,Philippines_Portfolio_Debt_Share_%,Philippines_Total_IIP_Liabilities,Philippines_Total_Liabilities_Growth_YoY_%,Poland_Portfolio_Debt_Share_%,Poland_Total_IIP_Liabilities,Poland_Total_Liabilities_Growth_YoY_%,Saudi Arabia_Portfolio_Debt_Share_%,Saudi Arabia_Total_IIP_Liabilities,Saudi Arabia_Total_Liabilities_Growth_YoY_%,South Africa_Portfolio_Debt_Share_%,South Africa_Total_IIP_Liabilities,South Africa_Total_Liabilities_Growth_YoY_%,South Korea_Portfolio_Debt_Share_%,South Korea_Total_IIP_Liabilities,South Korea_Total_Liabilities_Growth_YoY_%,Thailand_Portfolio_Debt_Share_%,Thailand_Total_IIP_Liabilities,Thailand_Total_Liabilities_Growth_YoY_%,Turkey_Portfolio_Debt_Share_%,Turkey_Total_IIP_Liabilities,Turkey_Total_Liabilities_Growth_YoY_%,United States_Portfolio_Debt_Share_%,United States_Total_IIP_Liabilities,United States_Total_Liabilities_Growth_YoY_%
1991-03-31 23:59:59.999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24513000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
1991-06-30 23:59:59.999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24991000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
1991-09-30 23:59:59.999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25077000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
1991-12-31 23:59:59.999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26815000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
1992-03-31 23:59:59.999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27177000000.0,10.867702851548167,,,,,,,,,,,,,,,,,,,,,,,,
1992-06-30 23:59:59.999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27481000000.0,9.963586891280851,,,,,,,,,,,,,,,,,,,,,,,,
1992-09-30 23:59:59.999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27945000000.0,11.436774733819831,,,,,,,,,,,,,,,,,,,,,,,,
1992-12-31 23:59:59.999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28143000000.0,4.952451985828832,,,,,,,,,,,,,,,,,,,,,,,,
1993-03-31 23:59:59.999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28516507936.479,4.928829291235237,,,,,,,,,,,,,,,,,,,,,,,,
1993-06-30 23:59:59.999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28912007936.479,5.207262968883963,,,,,,,,,,,,,,,,,,,,,,,,
1993-09-30 23:59:59.999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021345879588627492,29307763936.479,4.876593080976921,,,,,,,,,,,,,,,,,,,,,,,,
1993-12-31 23:59:59.999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02100438007580846,29784263936.479,5.831872708947161,,,,,,,,,,,,,,,,,,,,,,,,
1994-03-31 23:59:59.999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08649641886162,30355013936.479,6.447163881690221,,,,,,,,,,,,,,,,,,,,,,,,
1994-06-30 23:59:59.999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20110322714509535,32946263936.479,13.953565621811691,,,,,,,,,,,,,,,,,,,,,,,,
1994-09-30 23:59:59.999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22820673843477282,33853513936.479,15.510395163044022,,,,,,,,,,,,,,,,,,,,,,,,
1994-12-31 23:59:59.999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24603500964470662,36277763936.479,21.801781013788712,,,,,,,,,,,,,17.597901594500236,111132000000.0,,,,,,,,,,
1995-03-31 23:59:59.999999999,,,,,,,,,,,,,,,,,,,37.8961844738841,39438803875.70999,,,,,,,,,,,,,,,,,0.2443300492158529,36530913936.479,20.34556799388629,,,,,,,,,,,,,18.69273765610492,118686200000.0,,,,,,,,,,
1995-06-30 23:59:59.999999999,,,,,,,,,,,,,,,,,,,40.040443615232746,40658820724.72982,,,,,,,,,,,,,,,,,0.2270034288007675,37997663936.479,15.33223921759137,,,,,,,,,,,,,19.87411117466784,129018600000.0,,,,,,,,,,
1995-09-30 23:59:59.999999999,,,,,,,,,,,,,,,,,,,39.740046497065485,40067775094.33962,,,,,,,,,,,,,,,,,0.23157162653127078,38975413936.479,15.129596323768535,,,,,,,,,,,,,19.422971192317764,141687900000.0,,,,,,,,,,
1995-12-31 23:59:59.999999999,,,,,,,,,,,,,,,,,,,37.73595180306566,42752227002.2227,,,,,,,,,,,,,,,,,0.2007717425850541,40471830823.2928,11.560985109659615,,,,,,,,,,,,,20.468867642356923,145435500000.0,30.86734693877551,,,,,,,,,
1996-03-31 23:59:59.999999999,,,,,,,,,,,,,,,,,,,37.78699224662736,41636909078.5169,5.573458083906813,,,,,,,,,,,,,,,,0.1893763209571474,40794962965.5556,11.67244005033945,,,,,,,,,,,,,21.098387762195735,153916500000.0,29.68356894061821,,,,,,,,,
1996-06-30 23:59:59.999999999,,,,,,,,,,,,,,,,,,,37.4089001708145,40602592616.7919,-0.13829252038222162,,,,,,,,,,,,,,,,0.21712905181243805,41867267065.9139,10.183792182339824,,,,,,,,,,,,,21.92922007784832,164704900000.0,27.659810290919285,,,,,,,,,
1996-09-30 23:59:59.999999999,,,,,,,,,,,,,,,,,,,35.546805024912366,40897234606.88349,2.070141181013674,,,,,,,,,,,,,,,,0.19810802314274922,43716553537.862,12.16443681421826,,,,,,,,,,,,,23.04177313720972,174461400000.0,23.13076840012449,,,,,,,,,
1996-12-31 23:59:59.999999999,,,,,,,,,,11.321660162482933,44187217779.0621,,,,,,,,32.99962998571107,40860966470.6239,-4.42377079327464,,,,,,,,,,,,,,,,0.16842676993854463,43613019490.193,7.7614197405973195,,,,,,,,,,,,,24.034477749993655,185197700000.0,27.340092343341205,,,,,,,,,
1997-03-31 23:59:59.999999999,,,,,,,,,,,,,,,,,,,30.76426109559441,39516538810.71266,-5.092525633460799,,,,,,,,,,,,,,,,12.730583363102863,38854904436.951,-4.755632528071308,,,,,,,,,,,,,24.36042955900701,191796700000.0,24.610876676639613,,,,,,,,,
