Date,Brazil_Export_Momentum_YoY_%,Brazil_Exports,Brazil_Imports,Brazil_Trade_Balance,Chile_Export_Momentum_YoY_%,Chile_Exports,Chile_Imports,Chile_Trade_Balance,China_Export_Momentum_YoY_%,China_Exports,China_Imports,China_Trade_Balance,Colombia_Export_Momentum_YoY_%,Colombia_Exports,Colombia_Imports,Colombia_Trade_Balance,Czech Republic_Export_Momentum_YoY_%,Czech Republic_Exports,Czech Republic_Imports,Czech Republic_Trade_Balance,Greece_Export_Momentum_YoY_%,Greece_Exports,Greece_Imports,Greece_Trade_Balance,Hungary_Export_Momentum_YoY_%,Hungary_Exports,Hungary_Imports,Hungary_Trade_Balance,India_Export_Momentum_YoY_%,India_Exports,India_Imports,India_Trade_Balance,Indonesia_Export_Momentum_YoY_%,Indonesia_Exports,Indonesia_Imports,Indonesia_Trade_Balance,Malaysia_Export_Momentum_YoY_%,Malaysia_Exports,Malaysia_Imports,Malaysia_Trade_Balance,Mexico_Export_Momentum_YoY_%,Mexico_Exports,Mexico_Imports,Mexico_Trade_Balance,Peru_Export_Momentum_YoY_%,Peru_Exports,Peru_Imports,Peru_Trade_Balance,Philippines_Export_Momentum_YoY_%,Philippines_Exports,Philippines_Imports,Philippines_Trade_Balance,Poland_Export_Momentum_YoY_%,Poland_Exports,Poland_Imports,Poland_Trade_Balance,Qatar_Export_Momentum_YoY_%,Qatar_Exports,Qatar_Imports,Qatar_Trade_Balance,Saudi Arabia_Export_Momentum_YoY_%,Saudi Arabia_Exports,Saudi Arabia_Imports,Saudi Arabia_Trade_Balance,South Africa_Export_Momentum_YoY_%,South Africa_Exports,South Africa_Imports,South Africa_Trade_Balance,South Korea_Export_Momentum_YoY_%,South Korea_Exports,South Korea_Imports,South Korea_Trade_Balance,Thailand_Export_Momentum_YoY_%,Thailand_Exports,Thailand_Imports,Thailand_Trade_Balance,Turkey_Export_Momentum_YoY_%,Turkey_Exports,Turkey_Imports,Turkey_Trade_Balance,United States_Export_Momentum_YoY_%,United States_Exports,United States_Imports,United States_Trade_Balance
2006-02-01,,8757000000.0,6382000000.0,2375000000.0,,4291000000.0,2657000000.0,1634000000.0,22.201644231637907,54106000000.0,51598000000.0,2508000000.0,,1862000000.0,1702000000.0,160000000.0,,6709000000.0,6490000000.0,219000000.0,,4.996577686516085,-0.2275548200248242,5.22413250654091,,-2.061855670103093,1.016260162601626,-3.078115832704719,,-1.232547993019197,-10.53978594695207,9.307237953932873,,-0.9984639016897081,2.146375791695989,-3.1448396933856975,,11384000000.0,9324000000.0,2060000000.0,,18729000000.0,19034000000.0,-305000000.0,,1416000000.0,1086000000.0,330000000.0,,3448000000.0,3557000000.0,-109000000.0,,7861000000.0,8840000000.0,-979000000.0,,,,,,,,,,4336000000.0,4993000000.0,-657000000.0,,23785000000.0,23416000000.0,369000000.0,,9483000000.0,9801000000.0,-318000000.0,,6058000000.0,9796000000.0,-3738000000.0,,76935000000.0,140809000000.0,-63874000000.0
2006-03-01,,11379000000.0,8196000000.0,3183000000.0,,5644000000.0,3247000000.0,2397000000.0,28.22581970580984,78019000000.0,66902000000.0,11117000000.0,,1925000000.0,2154000000.0,-229000000.0,,7889000000.0,7576000000.0,313000000.0,,20.79530638852673,24.73564171677379,-3.9403353282470626,,22.28070175438596,20.68776294128407,1.5929388131018882,,27.67531750414136,24.09189423493715,3.5834232692042107,,-0.2327385570209465,13.81329658973476,-14.046035146755706,,13882000000.0,11208000000.0,2674000000.0,,20917000000.0,21748000000.0,-831000000.0,,1845000000.0,1307000000.0,538000000.0,,4174000000.0,4420000000.0,-246000000.0,,9095000000.0,10215000000.0,-1120000000.0,,,,,,,,,,4805000000.0,5249000000.0,-444000000.0,,26855000000.0,25754000000.0,1101000000.0,,11065000000.0,10776000000.0,289000000.0,,7411000000.0,11605000000.0,-4194000000.0,,90853000000.0,159452000000.0,-68599000000.0
2006-04-01,,9822000000.0,7177000000.0,2645000000.0,,5264000000.0,2604000000.0,2660000000.0,23.748469815089223,76828000000.0,66484000000.0,10344000000.0,,1860000000.0,1934000000.0,-74000000.0,,6953000000.0,7038000000.0,-85000000.0,,-14.57096600107933,-15.95744680851064,1.38648080743131,,-12.43424198947872,-12.45832070324341,0.024078713764691173,,-25.39572701323415,-9.703786502724604,-15.691940510509546,,6.13011923276309,-4.676150121065375,10.806269353828466,,12531000000.0,10570000000.0,1961000000.0,,19761000000.0,20068000000.0,-307000000.0,,1768000000.0,1139000000.0,629000000.0,,3918000000.0,4652000000.0,-734000000.0,,8321000000.0,9227000000.0,-906000000.0,,,,,,,,,,4371000000.0,4773000000.0,-402000000.0,,25554000000.0,24172000000.0,1382000000.0,,9174000000.0,9754000000.0,-580000000.0,,6456000000.0,11587000000.0,-5131000000.0,,82448000000.0,152501000000.0,-70053000000.0
2006-05-01,,10277000000.0,7726000000.0,2551000000.0,,4708000000.0,3537000000.0,1171000000.0,25.076169935983028,73072000000.0,60145000000.0,12927000000.0,,2193000000.0,2218000000.0,-25000000.0,,8198000000.0,8088000000.0,110000000.0,,29.43777637397347,22.88370253164557,6.554073842327899,,19.42472237393046,17.60734072022161,1.8173816537088499,,17.21739130434783,16.8742746615087,0.34311664283913146,,3.065087312248138,6.318463248134625,-3.253375935886487,,13344000000.0,11042000000.0,2302000000.0,,22710000000.0,23440000000.0,-730000000.0,,1955000000.0,1283000000.0,672000000.0,,3885000000.0,4673000000.0,-788000000.0,,9398000000.0,11089000000.0,-1691000000.0,,,,,,,,,,4858000000.0,5976000000.0,-1118000000.0,,27822000000.0,26026000000.0,1796000000.0,,10796000000.0,11481000000.0,-685000000.0,,7042000000.0,12694000000.0,-5652000000.0,,86969000000.0,164221000000.0,-77252000000.0
2006-06-01,,11442000000.0,7816000000.0,3626000000.0,,6026000000.0,3316000000.0,2710000000.0,23.283785833459735,81281000000.0,66891000000.0,14390000000.0,,2030000000.0,2224000000.0,-194000000.0,,8194000000.0,7866000000.0,328000000.0,,-1.366520253782333,-5.601158860453887,4.234638606671553,,-3.018292682926829,-4.475195053731783,1.4569023708049538,,3.066271018793274,-4.67363961339865,7.739910632191924,,4.917061611374408,7.391369269822308,-2.4743076584478993,,13409000000.0,11083000000.0,2326000000.0,,21309000000.0,22276000000.0,-967000000.0,,2291000000.0,1303000000.0,988000000.0,,4055000000.0,4724000000.0,-669000000.0,,9407000000.0,10480000000.0,-1073000000.0,,,,,,,,,,5072000000.0,5710000000.0,-638000000.0,,28111000000.0,25954000000.0,2157000000.0,,10916000000.0,11384000000.0,-468000000.0,,7815000000.0,12466000000.0,-4651000000.0,,89731000000.0,165702000000.0,-75971000000.0
2006-07-01,,13638000000.0,8482000000.0,5156000000.0,,4990000000.0,3212000000.0,1778000000.0,22.530977232497108,80297000000.0,65760000000.0,14537000000.0,,2129000000.0,2185000000.0,-56000000.0,,7164000000.0,7228000000.0,-64000000.0,,-10.29193468579911,-6.359761295822677,-3.932173389976432,,-7.906318767683119,-2.450300508552936,-5.4560182591301825,,1.727447216890595,4.0625,-2.335052783109405,,2.90231507622812,-1.459955506117909,4.362270582346029,,13781000000.0,11211000000.0,2570000000.0,,19826000000.0,20772000000.0,-946000000.0,,2167000000.0,1216000000.0,951000000.0,,4016000000.0,4598000000.0,-582000000.0,,8821000000.0,10453000000.0,-1632000000.0,,,,,,,,,,4924000000.0,6039000000.0,-1115000000.0,,26018000000.0,25421000000.0,597000000.0,,11113000000.0,11322000000.0,-209000000.0,,7067000000.0,11709000000.0,-4642000000.0,,79354000000.0,163015000000.0,-83661000000.0
2006-08-01,,13646000000.0,9648000000.0,3998000000.0,,5135000000.0,3659000000.0,1476000000.0,32.6946703328848,90726000000.0,71949000000.0,18777000000.0,,2123000000.0,2361000000.0,-238000000.0,,7525000000.0,7590000000.0,-65000000.0,,-11.4726971869829,-3.98761835396941,-7.485078833013491,,0.2389486260454002,-0.04739336492890995,0.2863419909743102,,1.60377358490566,2.282282282282282,-0.6785086973766219,,0.7352941176470588,-3.965006349654297,4.700300467301355,,14533000000.0,11725000000.0,2808000000.0,,22823000000.0,24268000000.0,-1445000000.0,,2107000000.0,1303000000.0,804000000.0,,4274000000.0,5061000000.0,-787000000.0,,9019000000.0,10416000000.0,-1397000000.0,,,,,,,,,,5153000000.0,5940000000.0,-787000000.0,,27456000000.0,27055000000.0,401000000.0,,11803000000.0,11529000000.0,274000000.0,,6811000000.0,12276000000.0,-5465000000.0,,88246000000.0,173421000000.0,-85175000000.0
2006-09-01,,12556000000.0,8605000000.0,3951000000.0,,4942000000.0,3466000000.0,1476000000.0,30.54684381593202,91576000000.0,76297000000.0,15279000000.0,,2097000000.0,2304000000.0,-207000000.0,,8468000000.0,8161000000.0,307000000.0,,24.23676012461059,16.11985586952399,8.116904255086599,,19.27464668823429,12.17006480164375,7.104581886590541,,-0.1207056638811513,13.20545442682847,-13.326160090709623,,1.45985401459854,0.8228034087569791,0.6370506058415608,,14466000000.0,11585000000.0,2881000000.0,,20491000000.0,22616000000.0,-2125000000.0,,2081000000.0,1270000000.0,811000000.0,,4178000000.0,4529000000.0,-351000000.0,,10307000000.0,11552000000.0,-1245000000.0,,,,,,,,,,5024000000.0,5068000000.0,-44000000.0,,29744000000.0,27853000000.0,1891000000.0,,12027000000.0,10534000000.0,1493000000.0,,7607000000.0,12153000000.0,-4546000000.0,,87545000000.0,163937000000.0,-76392000000.0
2006-10-01,,12656000000.0,9260000000.0,3396000000.0,,4392000000.0,3403000000.0,989000000.0,29.506798970966553,88097000000.0,64290000000.0,23807000000.0,,2263000000.0,2397000000.0,-134000000.0,,9354000000.0,9212000000.0,142000000.0,,-9.42828485456369,-1.469867711905928,-7.958417142657763,,1.598857958600999,3.02944906298436,-1.430591104383361,,-7.697313377335688,0.9279004091983171,-8.625213786534005,,-9.14850209384731,-12.02273389682308,2.874231802975771,,13058000000.0,10410000000.0,2648000000.0,,23186000000.0,25177000000.0,-1991000000.0,,2094000000.0,1464000000.0,630000000.0,,4207000000.0,4881000000.0,-674000000.0,,10848000000.0,12390000000.0,-1542000000.0,,,,,,,,,,5190000000.0,6914000000.0,-1724000000.0,,28093000000.0,25709000000.0,2384000000.0,,11458000000.0,10825000000.0,633000000.0,,6889000000.0,11200000000.0,-4311000000.0,,91665000000.0,170185000000.0,-78520000000.0
2006-11-01,,11874000000.0,9183000000.0,2691000000.0,,4112000000.0,3480000000.0,632000000.0,32.70586605720618,95807000000.0,72938000000.0,22869000000.0,,2129000000.0,2539000000.0,-410000000.0,,9629000000.0,9394000000.0,235000000.0,,6.201550387596899,-0.5138405436764462,6.715390931273345,,10.32738513418575,9.204048140043763,1.1233369941419866,,0.5035753852351696,-6.4584285061672,6.96200389140237,,3.971161801205531,35.72966705317211,-31.758505251966575,,14087000000.0,11539000000.0,2548000000.0,,20854000000.0,23126000000.0,-2272000000.0,,2122000000.0,1370000000.0,752000000.0,,4031000000.0,4708000000.0,-677000000.0,,10800000000.0,12214000000.0,-1414000000.0,,,,,,,,,,5696000000.0,7315000000.0,-1619000000.0,,30661000000.0,26763000000.0,3898000000.0,,11835000000.0,10914000000.0,921000000.0,,8641000000.0,12897000000.0,-4256000000.0,,90044000000.0,162182000000.0,-72138000000.0
