Date,Brazil_REER_Deviation_From_Trend_%,Brazil_REER_Index,Brazil_REER_YoY_%,Chile_REER_Deviation_From_Trend_%,Chile_REER_Index,Chile_REER_YoY_%,China_REER_Deviation_From_Trend_%,China_REER_Index,China_REER_YoY_%,Colombia_REER_Deviation_From_Trend_%,Colombia_REER_Index,Colombia_REER_YoY_%,Czech Republic_REER_Deviation_From_Trend_%,Czech Republic_REER_Index,Czech Republic_REER_YoY_%,Greece_REER_Deviation_From_Trend_%,Greece_REER_Index,Greece_REER_YoY_%,Hungary_REER_Deviation_From_Trend_%,Hungary_REER_Index,Hungary_REER_YoY_%,Malaysia_REER_Deviation_From_Trend_%,Malaysia_REER_Index,Malaysia_REER_YoY_%,Mexico_REER_Deviation_From_Trend_%,Mexico_REER_Index,Mexico_REER_YoY_%,Philippines_REER_Deviation_From_Trend_%,Philippines_REER_Index,Philippines_REER_YoY_%,Poland_REER_Deviation_From_Trend_%,Poland_REER_Index,Poland_REER_YoY_%,Saudi Arabia_REER_Deviation_From_Trend_%,Saudi Arabia_REER_Index,Saudi Arabia_REER_YoY_%,South Africa_REER_Deviation_From_Trend_%,South Africa_REER_Index,South Africa_REER_YoY_%,United States_REER_Deviation_From_Trend_%,United States_REER_Index,United States_REER_YoY_%
1979-01-01,,,,,,,,,,,,,,,,,,,,,,,162.8474217281166,,,,,,107.9885523147299,,,,,,,,,143.1588696836089,,,,
1979-02-01,,,,,,,,,,,,,,,,,,,,,,,163.4752033107447,,,,,,108.4166200251019,,,,,,,,,147.1521035397366,,,,
1979-03-01,,,,,,,,,,,,,,,,,,,,,,,164.6306717023055,,,,,,110.5150057718814,,,,,,,,,150.2742492628068,,,,
1979-04-01,,,,,,,,,,,,,,,,,,,,,,,165.3974768051902,,,,,,115.1772338808807,,,,,,,,,151.0928521950212,,,,
1979-05-01,,,,,,,,,,,,,,,,,,,,,,,165.4182058436341,,,,,,117.8169761022519,,,,,,,,,152.4005118362383,,,,
1979-06-01,,,,,,,,,,,,,,,,,,,,,,,165.2285602704183,,,,,,118.6658356282538,,,,,,,,,151.4330111846415,,,,
1979-07-01,,,,,,,,,,,,,,,,,,,,,,,164.1834526308818,,,,,,117.3890467326117,,,,,,,,,150.2527469681763,,,,
1979-08-01,,,,,,,,,,,,,,,,,,,,,,,164.0726213298457,,,,,,118.9143922047911,,,,,,,,,152.1258068592306,,,,
1979-09-01,,,,,,,,,,,,,,,,,,,,,,,164.2035646291212,,,,,,120.196672166636,,,,,,,,,153.07673369729,,,,
1979-10-01,,,,,,,,,,,,,,,,,,,,,,,163.9786794691631,,,,,,122.3380437429023,,,,,,,,,155.5202661099555,,,,
1979-11-01,,,,,,,,,,,,,,,,,,,,,,,163.6593514474747,,,,,,125.0480932663424,,,,,,,,,156.3712506336852,,,,
1979-12-01,,81.63558380401778,,,149.8048603383011,,,279.2681353909415,,,139.01098582171,,,,,,,,,,,,163.3118945990187,,,111.7036338215883,,,123.46207842145,,,,,,,,,154.331492018982,,,105.2840544538509,
1980-01-01,,78.13362952284663,,,151.5099533087458,,,281.6584511779003,,,139.7502354870746,,,,,,85.7071700168734,,,,,,161.8928772568491,-0.5861587866347495,,113.6836827736978,,,122.9594440044198,13.863406230373009,,,,,270.598067362267,,,152.9646020419842,6.849545808825286,,105.176070372402,
1980-02-01,,79.20498293036813,,,154.5766201589126,,,280.2693952700981,,,137.9054526828398,,,,,,85.62123980986905,,,,,,161.8716145498243,-0.9809370035602116,,115.1226272366833,,,124.284427206519,14.635954503786586,,,,,242.3058938086186,,,155.1312055309868,5.422349935415993,,106.149049250725,
1980-03-01,,82.4684381310655,,,160.6044602301861,,,276.4560392109062,,,138.2739868473545,,,,,,87.28129314241554,,,,,,161.1524230348957,-2.112758595615394,,117.605875021234,,,127.6457755771436,15.500854101770134,,,,,248.5124707445703,,,161.7016287362593,7.604349733577953,,109.8339528791946,
1980-04-01,,83.05842731029895,,,164.1835004781251,,,276.6520827884292,,,140.0542122149976,,,,,,85.1283287456398,,,,,,156.7768544257789,-5.212064020520035,,119.2536972769605,,,128.5096453792107,11.575561462188544,,,,,251.5411602055493,,,162.462454517728,7.524910780049088,,110.7952980968784,
1980-05-01,,81.7398407276439,,,161.7091667740615,,,271.0225045741147,,,136.7366185149793,,,,,,80.87256328011726,,,,,,156.9220823501,-5.136147771766597,,118.3456384316158,,,123.0985718764809,4.482881795952021,,,,,239.0378388261785,,,160.4458476298732,5.279073998307826,,106.2415734891483,
1980-06-01,,81.51093014876457,,,161.2623240910423,,,269.4900260693573,,,134.5594820590779,,,,,,80.44535437772625,,,,,,157.3220356720787,-4.785204558703137,,118.6775396180789,,,120.3596315568706,1.4273661156551931,,,,,233.7560897384991,,,162.6399880869957,7.400616823692152,,104.2587460766789,
1980-07-01,,82.53185065743928,,,163.0988466792508,,,271.1378378871069,,,134.1362965442364,,,,,,80.84760342254454,,,,,,157.6777005591678,-3.962489500291033,,120.9411261374708,,,120.4236054797838,2.5850442027050446,,,,,233.2941013428685,,,164.7309144352839,9.635875389468973,,102.9943447882454,
1980-08-01,,84.56202886406183,,,165.9896600497857,,,269.6425247873572,,,134.9243873327017,,,,,,82.32707516514306,,,,,,158.5652825301367,-3.3566470475517307,,122.9720901176662,,,122.1337408575924,2.707282603149519,,,,,236.9590784828478,,,166.3079040987945,9.322611023313932,,104.3496820863222,
1980-09-01,,84.28731930689356,,,165.6883418814173,,,265.1454720308171,,,134.6539214678314,,,,,,83.0113061840029,,,,,,157.5239961610112,-4.067858382488099,,123.5986009622925,,,121.3345157933723,0.9466515222308569,,,,,231.913705900539,,,169.3238883053213,10.613732221488426,,103.2179204451147,
1980-10-01,,88.65262787495234,,,168.2263122845894,,,263.6560114559951,,,134.5607538870728,,,,,,84.4397361640586,,,,,,157.3367727440775,-4.050469699223691,,124.5566445041185,,,121.9914027552939,-0.28334684534998544,,,,,232.0116198601846,,,172.5875561639103,10.97431896231964,,103.8797924099653,
