Date,Brazil_CPI_Index,Brazil_Inflation_MoM_%,Brazil_Inflation_YoY_%,Chile_CPI_Index,Chile_Inflation_MoM_%,Chile_Inflation_YoY_%,China_CPI_Index,China_Inflation_MoM_%,China_Inflation_YoY_%,Colombia_CPI_Index,Colombia_Inflation_MoM_%,Colombia_Inflation_YoY_%,Czech Republic_CPI_Index,Czech Republic_Inflation_MoM_%,Czech Republic_Inflation_YoY_%,Greece_CPI_Index,Greece_Inflation_MoM_%,Greece_Inflation_YoY_%,Hungary_CPI_Index,Hungary_Inflation_MoM_%,Hungary_Inflation_YoY_%,India_CPI_Index,India_Inflation_MoM_%,India_Inflation_YoY_%,Indonesia_CPI_Index,Indonesia_Inflation_MoM_%,Indonesia_Inflation_YoY_%,Kuwait_CPI_Index,Kuwait_Inflation_MoM_%,Kuwait_Inflation_YoY_%,Malaysia_CPI_Index,Malaysia_Inflation_MoM_%,Malaysia_Inflation_YoY_%,Mexico_CPI_Index,Mexico_Inflation_MoM_%,Mexico_Inflation_YoY_%,Peru_CPI_Index,Peru_Inflation_MoM_%,Peru_Inflation_YoY_%,Philippines_CPI_Index,Philippines_Inflation_MoM_%,Philippines_Inflation_YoY_%,Poland_CPI_Index,Poland_Inflation_MoM_%,Poland_Inflation_YoY_%,Qatar_CPI_Index,Qatar_Inflation_MoM_%,Qatar_Inflation_YoY_%,Saudi Arabia_CPI_Index,Saudi Arabia_Inflation_MoM_%,Saudi Arabia_Inflation_YoY_%,South Africa_CPI_Index,South Africa_Inflation_MoM_%,South Africa_Inflation_YoY_%,South Korea_CPI_Index,South Korea_Inflation_MoM_%,South Korea_Inflation_YoY_%,Thailand_CPI_Index,Thailand_Inflation_MoM_%,Thailand_Inflation_YoY_%,Turkey_CPI_Index,Turkey_Inflation_MoM_%,Turkey_Inflation_YoY_%,UAE_CPI_Index,UAE_Inflation_MoM_%,UAE_Inflation_YoY_%,United States_CPI_Index,United States_Inflation_MoM_%,United States_Inflation_YoY_%
1974-01-01,,,,0.01590705270177005,,,,,,0.202415,,,,,,2.054597,,,,,,5.53305613676062,,,1.309947,,,,,,,,,0.01765274,,,,,,,,,,,,,,,,,,1.494306,,,6.692137,,,,,,0.0003000695,,,,,,21.37070608170855,,
1974-02-01,,,,0.01980044901470183,24.4759125774352,,,,,0.202415,0.0,,,,,2.03297,-1.0526151843889386,,,,,5.596605713103052,1.1485438566260164,,1.355643,3.48838540795926,,,,,,,,0.01805172,2.2601590461310828,,,,,,,,,,,,,,,,,1.494306,0.0,,7.045153,5.275086269154383,,,,,0.0002998481,-0.07378290695988499,,,,,21.64586538748163,1.2875536480687177,
1974-03-01,,,,0.02261346201105901,14.206814170065108,,,,,0.2093948,3.4482622335301194,,,,,2.097852,3.191488315125146,,,,,5.764547267927852,3.000775173988157,,1.375952,1.4981082777693056,,,,,,,,0.01819094,0.7712284480370757,,,,,,,,,,,,,,,,,1.523606,1.9607764407022499,,7.310388,3.7647869393326205,,,,,0.0003165617,5.574022313297977,,,,,21.9210246932547,1.2711864406779627,
1974-04-01,,,,0.02607576106549955,15.3107872326109,,,,,0.2163747,3.3333683548970816,,,,,2.119479,1.0309116181694389,,,,,5.932488822752653,2.91335202955445,,1.431802,4.059007872367637,,,,,,,,0.01843779,1.3569941960118515,,,,,,,,,,,,,,,,,1.523606,0.0,,7.445532,1.8486570069878638,,,,,0.0003214318,1.5384362669268015,,,,,22.01274446184572,0.4184100418409775,
1974-05-01,,,,0.02833769028853076,8.67445140853027,,,,,0.2233545,3.225793034028479,,,,,2.162734,2.040831732704107,,,,,6.163979953919885,3.9020913158639647,,1.431802,0.0,,,,,,,,0.01858275,0.786211362641609,,,,,,,,,,,,,,,,,1.552906,1.923069349950035,,7.482791,0.50042092358209,,,,,0.0003268555,1.6873563847758621,,,,,22.28790376761879,1.2499999999999956,
1974-06-01,,,,0.03423483654167871,20.81025726904331,,,,,0.2233545,0.0,,,,,2.184361,0.9999842791577729,,,,,6.309228636772452,2.356410694687594,,1.447034,1.0638342452378158,,,,,,,,0.01876645,0.9885512101276861,,,,,,,,,,,,,,,,,1.582206,1.8867851627851318,,7.426586,-0.751123477857385,,,,,0.0003322791,1.659326521964588,,,,,22.47134330480084,0.8230452674897304,
1974-07-01,,,,0.03817528136811779,11.5100442253955,,,,,0.2233545,0.0,,,,,2.184361,0.0,,,,,6.522560702951814,3.3812701751841034,,1.452111,0.3508556122385542,,,,,,,,0.0190377,1.445398570320977,,,,,,,,,,,,,,,,,1.582206,0.0,,7.589517,2.1938882819104055,,,,,0.0003363744,1.2324879897652297,,,,,22.65478284198289,0.8163265306122547,
1974-08-01,,,,0.04233451006820713,10.895083286964159,,,,,0.2233545,0.0,,,,,2.119479,-2.970296576435849,,,,,6.7313589621468,3.201170042012702,,1.452111,0.0,,,,,,,,0.01923862,1.0553795889209239,,,,,,,,,,,,,,,,,1.611506,1.8518448293079581,,7.826965,3.1286312422780016,,,,,0.0003391416,0.8226547561288822,,,,,22.92994214775596,1.2145748987854255,
1974-09-01,,,,0.04775350301677353,12.800414932960358,,,,,0.2303343,3.1249874079098294,,,,,2.184361,3.0612240083529807,,,,,7.003697262864065,4.045814556150318,,1.482575,2.0979112478316075,,,,,,,,0.01945677,1.1339170896873085,,,,,,,,,,,,,,,,,1.640807,1.8182371024370925,,7.957057,1.66210018825943,,,,,0.0003476644,2.5130505959752636,,,,,23.20510145352903,1.200000000000001,
1974-10-01,,,,0.0567753680839933,18.892572266480244,,,,,0.2373142,3.030334604963314,,,,,2.205989,0.9901293787977439,,,,,7.021856327851934,0.25927826841052326,,1.523194,2.739760214491671,,,,,,,,0.01984283,1.984193676545476,,,,,,,,,,,,,,,,,1.640807,0.0,,7.882538,-0.9365145932723529,,,,,0.0003547483,2.0375684136771044,,,,,23.43440087500659,0.9881422924901351,
